zone_id,zone_name,source_geography,is_estimate,project_capacity_weight,allocation_share,crime_category,crime_metric,district_reported_crime_count,estimated_zone_crime_count,allocation_method
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Assault or Use of Criminal Force with intent to disrobe (Sec. 76 BNS/Sec. 354B IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Assault or Use of Criminal Force with intent to disrobe (Sec. 76 BNS/Sec. 354B IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),Voyeurism (Total a+b),11,3,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),Voyeurism (Total a+b),11,2,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),Voyeurism (Total a+b),11,1,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),Voyeurism (Total a+b),11,2,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),Voyeurism (Total a+b),11,1,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),Voyeurism (Total a+b),11,2,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),a) Women (18 Years and Above),11,3,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),a) Women (18 Years and Above),11,2,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),a) Women (18 Years and Above),11,1,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),a) Women (18 Years and Above),11,2,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),a) Women (18 Years and Above),11,1,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),a) Women (18 Years and Above),11,2,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Voyeurism (Sec. 77 BNS/Sec. 354C IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Stalking (Sec. 78 BNS/Sec. 354D IPC),Stalking (Total a+b),39,11,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Stalking (Sec. 78 BNS/Sec. 354D IPC),Stalking (Total a+b),39,5,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Stalking (Sec. 78 BNS/Sec. 354D IPC),Stalking (Total a+b),39,4,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Stalking (Sec. 78 BNS/Sec. 354D IPC),Stalking (Total a+b),39,9,project-capacity-weighted largest-remainder estimate
